Pet ID,Species,Breed,Age,Symptoms,Medical Health,Treatment,Weight (kg),Owner ID,Checkup Date
PET0276,Bird,Finch,7,Lethargy,Healthy,Surgery,28.05,OWN0276,2022-10-03
PET0277,Hamster,Dwarf Campbell,14,Sneezing,Minor Illness,Therapy,25.89,OWN0277,2022-10-04
PET0278,Bird,Parakeet,9,Lethargy,Healthy,Medication,31.42,OWN0278,2022-10-05
PET0279,Bird,Finch,11,Lethargy,Minor Illness,Observation,37.53,OWN0279,2022-10-06
PET0280,Bird,Cockatiel,12,Sneezing,Recovering,Surgery,27.83,OWN0280,2022-10-07
PET0281,Cat,Bengal,7,Vomiting,Recovering,None,6.66,OWN0281,2022-10-08
PET0282,Hamster,Winter White,9,Vomiting,Recovering,Medication,10.12,OWN0282,2022-10-09
PET0283,Dog,Bulldog,12,Coughing,Healthy,Surgery,33.77,OWN0283,2022-10-10
PET0284,Rabbit,Netherland Dwarf,3,Coughing,Critical,Medication,8.77,OWN0284,2022-10-11
PET0285,Dog,Poodle,4,Vomiting,Minor Illness,None,3.36,OWN0285,2022-10-12
PET0286,Hamster,Chinese,14,Diarrhea,Recovering,Surgery,28.28,OWN0286,2022-10-13
PET0287,Rabbit,Holland Lop,8,Lethargy,Minor Illness,None,16.4,OWN0287,2022-10-14
PET0288,Hamster,Syrian,6,Diarrhea,Healthy,Therapy,36.84,OWN0288,2022-10-15
PET0289,Bird,Parakeet,5,Lethargy,Critical,None,26.19,OWN0289,2022-10-16
PET0290,Rabbit,Flemish Giant,13,Vomiting,Healthy,Therapy,4.07,OWN0290,2022-10-17
PET0291,Bird,Parakeet,4,Coughing,Minor Illness,Surgery,37.94,OWN0291,2022-10-18
PET0292,Dog,Labrador,8,Coughing,Critical,Therapy,10.71,OWN0292,2022-10-19
PET0293,Dog,Labrador,1,Diarrhea,Critical,Surgery,13.82,OWN0293,2022-10-20
PET0294,Rabbit,Flemish Giant,14,Coughing,Healthy,Surgery,16.39,OWN0294,2022-10-21
PET0295,Rabbit,Mini Rex,9,Vomiting,Recovering,Observation,2.52,OWN0295,2022-10-22
PET0296,Hamster,Winter White,1,Diarrhea,Minor Illness,Surgery,20.11,OWN0296,2022-10-23
PET0297,Hamster,Dwarf Campbell,8,Lethargy,Chronic Illness,Therapy,5.37,OWN0297,2022-10-24
PET0298,Bird,Finch,4,Coughing,Chronic Illness,Observation,16.34,OWN0298,2022-10-25
PET0299,Rabbit,Mini Rex,9,Sneezing,Healthy,Observation,14.35,OWN0299,2022-10-26
PET0300,Dog,Labrador,14,Coughing,Minor Illness,Surgery,31.03,OWN0300,2022-10-27
PET0301,Hamster,Winter White,11,Lethargy,Minor Illness,None,32.23,OWN0301,2022-10-28
PET0302,Hamster,Dwarf Campbell,5,Diarrhea,Healthy,None,6.56,OWN0302,2022-10-29
PET0303,Dog,Beagle,3,Lethargy,Minor Illness,Observation,14.98,OWN0303,2022-10-30
PET0304,Hamster,Roborovski,9,Sneezing,Recovering,Surgery,15.25,OWN0304,2022-10-31
PET0305,Bird,Cockatiel,11,Vomiting,Healthy,None,6.48,OWN0305,2022-11-01
PET0306,Rabbit,Holland Lop,14,Coughing,Recovering,Surgery,32.04,OWN0306,2022-11-02
PET0307,Dog,Labrador,14,Diarrhea,Minor Illness,Surgery,28.44,OWN0307,2022-11-03
PET0308,Rabbit,Flemish Giant,9,Vomiting,Healthy,Observation,8.02,OWN0308,2022-11-04
PET0309,Hamster,Syrian,4,Lethargy,Minor Illness,Observation,14.99,OWN0309,2022-11-05
PET0310,Hamster,Roborovski,11,Diarrhea,Healthy,Medication,4.68,OWN0310,2022-11-06
PET0311,Dog,Poodle,4,Vomiting,Minor Illness,None,25.31,OWN0311,2022-11-07
PET0312,Bird,Parrot,12,Diarrhea,Recovering,None,5.29,OWN0312,2022-11-08
PET0313,Cat,Siamese,8,Sneezing,Recovering,None,39.44,OWN0313,2022-11-09
PET0314,Dog,Bulldog,2,Sneezing,Minor Illness,Therapy,31.34,OWN0314,2022-11-10
PET0315,Cat,Siamese,9,Coughing,Healthy,Surgery,15.91,OWN0315,2022-11-11
PET0316,Cat,Bengal,13,Coughing,Chronic Illness,Observation,23.35,OWN0316,2022-11-12
PET0317,Bird,Parakeet,14,Sneezing,Recovering,None,36.5,OWN0317,2022-11-13
PET0318,Cat,Siamese,6,Diarrhea,Recovering,Medication,22.39,OWN0318,2022-11-14
PET0319,Cat,Persian,9,Sneezing,Chronic Illness,None,7.39,OWN0319,2022-11-15
PET0320,Bird,Canary,8,Coughing,Minor Illness,Surgery,15.46,OWN0320,2022-11-16
PET0321,Cat,Bengal,7,Sneezing,Healthy,Surgery,33.8,OWN0321,2022-11-17
PET0322,Cat,Siamese,13,Sneezing,Minor Illness,Observation,25.95,OWN0322,2022-11-18
PET0323,Cat,Persian,14,Diarrhea,Critical,Therapy,26.2,OWN0323,2022-11-19
PET0324,Dog,Labrador,1,Vomiting,Recovering,Observation,34.74,OWN0324,2022-11-20
PET0325,Dog,Labrador,14,Coughing,Critical,None,35.81,OWN0325,2022-11-21
PET0326,Dog,Labrador,12,Diarrhea,Recovering,Medication,36.83,OWN0326,2022-11-22
PET0327,Bird,Cockatiel,3,Sneezing,Recovering,Observation,4.25,OWN0327,2022-11-23
PET0328,Hamster,Syrian,11,Sneezing,Critical,Therapy,21.99,OWN0328,2022-11-24
PET0329,Cat,Sphynx,14,Vomiting,Critical,Observation,29.75,OWN0329,2022-11-25
PET0330,Cat,Bengal,2,Coughing,Minor Illness,Surgery,30.4,OWN0330,2022-11-26
PET0331,Bird,Canary,5,Coughing,Critical,None,24.47,OWN0331,2022-11-27
PET0332,Cat,Persian,5,Lethargy,Minor Illness,None,7.09,OWN0332,2022-11-28
PET0333,Dog,Beagle,5,Coughing,Minor Illness,None,32.0,OWN0333,2022-11-29
PET0334,Hamster,Dwarf Campbell,4,Vomiting,Minor Illness,None,28.94,OWN0334,2022-11-30
PET0335,Rabbit,Netherland Dwarf,5,Lethargy,Recovering,None,3.9,OWN0335,2022-12-01
PET0336,Cat,Persian,3,Lethargy,Recovering,None,18.82,OWN0336,2022-12-02
PET0337,Dog,Beagle,12,Sneezing,Critical,Medication,7.37,OWN0337,2022-12-03
PET0338,Rabbit,Flemish Giant,1,Sneezing,Recovering,Therapy,13.83,OWN0338,2022-12-04
PET0339,Hamster,Syrian,5,Coughing,Critical,None,1.21,OWN0339,2022-12-05
PET0340,Rabbit,Lionhead,13,Lethargy,Recovering,Therapy,16.31,OWN0340,2022-12-06
PET0341,Dog,Terrier,9,Sneezing,Healthy,None,22.22,OWN0341,2022-12-07
PET0342,Rabbit,Lionhead,13,Vomiting,Healthy,Observation,24.97,OWN0342,2022-12-08
PET0343,Bird,Finch,9,Sneezing,Critical,None,26.71,OWN0343,2022-12-09
PET0344,Rabbit,Holland Lop,4,Sneezing,Recovering,Surgery,33.53,OWN0344,2022-12-10
PET0345,Cat,Siamese,3,Lethargy,Recovering,Medication,9.01,OWN0345,2022-12-11
PET0346,Cat,Siamese,1,Lethargy,Minor Illness,Observation,5.26,OWN0346,2022-12-12
PET0347,Bird,Canary,2,Diarrhea,Chronic Illness,Observation,34.14,OWN0347,2022-12-13
PET0348,Dog,Bulldog,8,Vomiting,Critical,Surgery,6.69,OWN0348,2022-12-14
PET0349,Cat,Persian,1,Lethargy,Chronic Illness,None,39.0,OWN0349,2022-12-15
PET0350,Hamster,Chinese,8,Coughing,Chronic Illness,Medication,33.78,OWN0350,2022-12-16
PET0351,Cat,Bengal,13,Vomiting,Critical,Observation,20.28,OWN0351,2022-12-17
PET0352,Cat,Maine Coon,7,Vomiting,Recovering,Medication,39.27,OWN0352,2022-12-18
PET0353,Dog,Poodle,8,Lethargy,Critical,Observation,4.35,OWN0353,2022-12-19
PET0354,Rabbit,Flemish Giant,12,Vomiting,Chronic Illness,None,12.47,OWN0354,2022-12-20
PET0355,Cat,Bengal,6,Lethargy,Recovering,Observation,25.71,OWN0355,2022-12-21
PET0356,Bird,Canary,12,Sneezing,Healthy,Observation,14.33,OWN0356,2022-12-22
PET0357,Rabbit,Netherland Dwarf,14,Diarrhea,Critical,Therapy,37.17,OWN0357,2022-12-23
PET0358,Hamster,Roborovski,9,Sneezing,Critical,None,3.09,OWN0358,2022-12-24
PET0359,Dog,Labrador,3,Lethargy,Recovering,Surgery,22.2,OWN0359,2022-12-25
PET0360,Hamster,Chinese,10,Lethargy,Healthy,Surgery,23.84,OWN0360,2022-12-26
PET0361,Rabbit,Netherland Dwarf,4,Sneezing,Healthy,None,26.28,OWN0361,2022-12-27
PET0362,Rabbit,Lionhead,13,Coughing,Recovering,Surgery,10.6,OWN0362,2022-12-28
PET0363,Rabbit,Netherland Dwarf,6,Coughing,Minor Illness,None,14.9,OWN0363,2022-12-29
PET0364,Hamster,Chinese,8,Coughing,Critical,Surgery,33.83,OWN0364,2022-12-30
PET0365,Rabbit,Flemish Giant,5,Lethargy,Critical,Therapy,8.2,OWN0365,2022-12-31
PET0366,Hamster,Winter White,3,Vomiting,Chronic Illness,Surgery,33.16,OWN0366,2023-01-01
PET0367,Rabbit,Holland Lop,6,Lethargy,Recovering,Observation,22.72,OWN0367,2023-01-02
PET0368,Bird,Cockatiel,4,Vomiting,Chronic Illness,None,30.61,OWN0368,2023-01-03
PET0369,Rabbit,Lionhead,9,Sneezing,Chronic Illness,Medication,28.69,OWN0369,2023-01-04
PET0370,Hamster,Dwarf Campbell,13,Diarrhea,Healthy,Medication,8.7,OWN0370,2023-01-05
PET0371,Cat,Maine Coon,3,Vomiting,Critical,None,22.97,OWN0371,2023-01-06
PET0372,Rabbit,Flemish Giant,4,Coughing,Chronic Illness,Therapy,34.78,OWN0372,2023-01-07
PET0373,Cat,Sphynx,7,Lethargy,Healthy,Surgery,17.57,OWN0373,2023-01-08
PET0374,Bird,Cockatiel,7,Sneezing,Recovering,Therapy,38.68,OWN0374,2023-01-09
PET0375,Dog,Terrier,12,Coughing,Chronic Illness,Medication,18.36,OWN0375,2023-01-10
PET0376,Bird,Finch,12,Sneezing,Critical,None,6.14,OWN0376,2023-01-11
PET0377,Rabbit,Flemish Giant,4,Diarrhea,Chronic Illness,None,15.88,OWN0377,2023-01-12
PET0378,Cat,Persian,6,Lethargy,Recovering,Therapy,38.09,OWN0378,2023-01-13
PET0379,Cat,Persian,12,Lethargy,Chronic Illness,Therapy,13.13,OWN0379,2023-01-14
PET0380,Hamster,Roborovski,13,Diarrhea,Critical,Surgery,34.79,OWN0380,2023-01-15
PET0381,Cat,Sphynx,3,Lethargy,Healthy,Observation,35.31,OWN0381,2023-01-16
PET0382,Hamster,Syrian,6,Vomiting,Critical,Observation,14.33,OWN0382,2023-01-17
PET0383,Dog,Poodle,12,Sneezing,Healthy,Surgery,3.79,OWN0383,2023-01-18
PET0384,Rabbit,Lionhead,2,Coughing,Minor Illness,Observation,29.12,OWN0384,2023-01-19
PET0385,Hamster,Chinese,8,Diarrhea,Critical,Medication,12.8,OWN0385,2023-01-20
PET0386,Dog,Beagle,2,Vomiting,Critical,Observation,31.43,OWN0386,2023-01-21
PET0387,Cat,Maine Coon,11,Coughing,Recovering,Surgery,17.98,OWN0387,2023-01-22
PET0388,Cat,Maine Coon,7,Coughing,Chronic Illness,Observation,19.67,OWN0388,2023-01-23
PET0389,Dog,Terrier,9,Diarrhea,Healthy,None,31.23,OWN0389,2023-01-24
PET0390,Cat,Sphynx,1,Vomiting,Healthy,Therapy,15.6,OWN0390,2023-01-25
PET0391,Dog,Labrador,8,Coughing,Recovering,Medication,18.0,OWN0391,2023-01-26
PET0392,Hamster,Chinese,7,Coughing,Recovering,None,15.36,OWN0392,2023-01-27
PET0393,Hamster,Syrian,6,Vomiting,Chronic Illness,None,15.01,OWN0393,2023-01-28
PET0394,Dog,Terrier,6,Lethargy,Chronic Illness,Surgery,21.27,OWN0394,2023-01-29
PET0395,Hamster,Dwarf Campbell,6,Coughing,Critical,Therapy,32.45,OWN0395,2023-01-30
PET0396,Hamster,Winter White,9,Sneezing,Minor Illness,Therapy,14.79,OWN0396,2023-01-31
PET0397,Hamster,Chinese,2,Vomiting,Chronic Illness,Medication,21.21,OWN0397,2023-02-01
PET0398,Bird,Cockatiel,1,Coughing,Recovering,Surgery,26.99,OWN0398,2023-02-02
PET0399,Rabbit,Flemish Giant,13,Diarrhea,Chronic Illness,Medication,11.14,OWN0399,2023-02-03
PET0400,Cat,Bengal,12,Sneezing,Healthy,Observation,11.46,OWN0400,2023-02-04
PET0401,Bird,Parakeet,6,Coughing,Minor Illness,None,37.37,OWN0401,2023-02-05
PET0402,Hamster,Chinese,10,Sneezing,Critical,Medication,29.08,OWN0402,2023-02-06
PET0403,Dog,Bulldog,11,Sneezing,Healthy,None,23.3,OWN0403,2023-02-07
PET0404,Hamster,Dwarf Campbell,8,Lethargy,Healthy,Surgery,26.08,OWN0404,2023-02-08
PET0405,Rabbit,Holland Lop,3,Sneezing,Minor Illness,Observation,1.66,OWN0405,2023-02-09
PET0406,Hamster,Roborovski,12,Lethargy,Critical,Surgery,24.92,OWN0406,2023-02-10
PET0407,Dog,Labrador,10,Vomiting,Recovering,Observation,20.63,OWN0407,2023-02-11
PET0408,Rabbit,Flemish Giant,1,Lethargy,Critical,Observation,22.06,OWN0408,2023-02-12
PET0409,Hamster,Dwarf Campbell,9,Diarrhea,Chronic Illness,None,14.7,OWN0409,2023-02-13
PET0410,Rabbit,Mini Rex,13,Coughing,Healthy,Surgery,3.72,OWN0410,2023-02-14
PET0411,Cat,Persian,13,Vomiting,Chronic Illness,Surgery,8.14,OWN0411,2023-02-15
PET0412,Cat,Bengal,1,Vomiting,Recovering,Medication,38.05,OWN0412,2023-02-16
PET0413,Hamster,Dwarf Campbell,3,Diarrhea,Chronic Illness,Surgery,16.64,OWN0413,2023-02-17
PET0414,Rabbit,Netherland Dwarf,8,Lethargy,Critical,Medication,18.93,OWN0414,2023-02-18
PET0415,Dog,Bulldog,14,Coughing,Chronic Illness,Therapy,2.58,OWN0415,2023-02-19
PET0416,Hamster,Dwarf Campbell,3,Lethargy,Recovering,Therapy,1.98,OWN0416,2023-02-20
PET0417,Cat,Maine Coon,13,Sneezing,Recovering,Therapy,28.83,OWN0417,2023-02-21
PET0418,Cat,Maine Coon,4,Lethargy,Recovering,Surgery,21.75,OWN0418,2023-02-22
PET0419,Hamster,Dwarf Campbell,8,Vomiting,Critical,Surgery,20.59,OWN0419,2023-02-23
PET0420,Rabbit,Mini Rex,1,Coughing,Recovering,Medication,10.1,OWN0420,2023-02-24
PET0421,Cat,Bengal,13,Lethargy,Healthy,Observation,29.92,OWN0421,2023-02-25
PET0422,Rabbit,Lionhead,13,Coughing,Recovering,Medication,7.15,OWN0422,2023-02-26
PET0423,Cat,Sphynx,6,Coughing,Chronic Illness,Therapy,8.0,OWN0423,2023-02-27
PET0424,Cat,Persian,1,Sneezing,Chronic Illness,Medication,18.7,OWN0424,2023-02-28
PET0425,Bird,Cockatiel,14,Sneezing,Chronic Illness,Observation,11.81,OWN0425,2023-03-01
PET0426,Cat,Siamese,1,Vomiting,Critical,Surgery,10.27,OWN0426,2023-03-02
PET0427,Dog,Poodle,14,Diarrhea,Chronic Illness,Medication,25.99,OWN0427,2023-03-03
PET0428,Hamster,Dwarf Campbell,8,Coughing,Critical,Therapy,26.21,OWN0428,2023-03-04
PET0429,Hamster,Chinese,11,Diarrhea,Critical,Therapy,33.07,OWN0429,2023-03-05
PET0430,Rabbit,Netherland Dwarf,4,Vomiting,Recovering,Surgery,17.0,OWN0430,2023-03-06
PET0431,Cat,Bengal,12,Coughing,Healthy,Medication,3.39,OWN0431,2023-03-07
PET0432,Dog,Beagle,1,Coughing,Recovering,Observation,11.31,OWN0432,2023-03-08
PET0433,Rabbit,Mini Rex,10,Diarrhea,Recovering,Surgery,39.21,OWN0433,2023-03-09
PET0434,Bird,Cockatiel,7,Lethargy,Critical,Medication,24.05,OWN0434,2023-03-10
PET0435,Rabbit,Mini Rex,5,Sneezing,Critical,None,28.53,OWN0435,2023-03-11
PET0436,Rabbit,Holland Lop,5,Lethargy,Chronic Illness,Therapy,0.79,OWN0436,2023-03-12
PET0437,Cat,Bengal,1,Diarrhea,Chronic Illness,Observation,20.97,OWN0437,2023-03-13
PET0438,Bird,Cockatiel,14,Sneezing,Recovering,Observation,1.98,OWN0438,2023-03-14
PET0439,Rabbit,Holland Lop,10,Lethargy,Minor Illness,Observation,22.98,OWN0439,2023-03-15
PET0440,Dog,Bulldog,11,Sneezing,Minor Illness,Therapy,36.87,OWN0440,2023-03-16
PET0441,Dog,Beagle,6,Coughing,Chronic Illness,Medication,38.75,OWN0441,2023-03-17
PET0442,Hamster,Syrian,14,Lethargy,Minor Illness,Surgery,21.85,OWN0442,2023-03-18
PET0443,Bird,Finch,9,Sneezing,Chronic Illness,Medication,18.6,OWN0443,2023-03-19
PET0444,Bird,Parrot,9,Sneezing,Critical,Surgery,37.83,OWN0444,2023-03-20
PET0445,Hamster,Syrian,8,Sneezing,Recovering,Observation,27.11,OWN0445,2023-03-21
PET0446,Rabbit,Flemish Giant,5,Lethargy,Healthy,Medication,3.06,OWN0446,2023-03-22
PET0447,Bird,Canary,1,Vomiting,Recovering,Observation,18.9,OWN0447,2023-03-23
PET0448,Dog,Poodle,9,Lethargy,Chronic Illness,None,9.99,OWN0448,2023-03-24
PET0449,Dog,Terrier,1,Diarrhea,Chronic Illness,Observation,19.06,OWN0449,2023-03-25
PET0450,Cat,Sphynx,8,Lethargy,Recovering,Observation,18.49,OWN0450,2023-03-26
PET0451,Bird,Parrot,5,Sneezing,Chronic Illness,Surgery,23.49,OWN0451,2023-03-27
PET0452,Rabbit,Flemish Giant,3,Coughing,Minor Illness,None,14.59,OWN0452,2023-03-28
PET0453,Hamster,Chinese,11,Lethargy,Minor Illness,Observation,6.99,OWN0453,2023-03-29
PET0454,Hamster,Winter White,7,Lethargy,Chronic Illness,Observation,20.4,OWN0454,2023-03-30
PET0455,Rabbit,Lionhead,7,Sneezing,Chronic Illness,None,33.29,OWN0455,2023-03-31
PET0456,Cat,Persian,9,Coughing,Minor Illness,None,26.73,OWN0456,2023-04-01
PET0457,Hamster,Roborovski,7,Coughing,Chronic Illness,Medication,13.87,OWN0457,2023-04-02
PET0458,Bird,Canary,13,Diarrhea,Chronic Illness,Surgery,37.45,OWN0458,2023-04-03
PET0459,Cat,Sphynx,11,Lethargy,Recovering,None,36.53,OWN0459,2023-04-04
PET0460,Bird,Canary,14,Coughing,Healthy,None,8.77,OWN0460,2023-04-05
PET0461,Dog,Bulldog,3,Coughing,Minor Illness,Therapy,2.06,OWN0461,2023-04-06
PET0462,Cat,Siamese,11,Vomiting,Recovering,None,29.78,OWN0462,2023-04-07
PET0463,Hamster,Syrian,13,Vomiting,Healthy,Surgery,33.19,OWN0463,2023-04-08
PET0464,Cat,Sphynx,14,Coughing,Chronic Illness,Observation,38.73,OWN0464,2023-04-09
PET0465,Cat,Bengal,13,Diarrhea,Chronic Illness,Observation,35.65,OWN0465,2023-04-10
PET0466,Cat,Maine Coon,1,Coughing,Recovering,Observation,24.22,OWN0466,2023-04-11
PET0467,Cat,Bengal,8,Sneezing,Chronic Illness,Observation,21.44,OWN0467,2023-04-12
PET0468,Bird,Parrot,12,Lethargy,Critical,Therapy,1.6,OWN0468,2023-04-13
PET0469,Dog,Labrador,3,Diarrhea,Recovering,None,10.24,OWN0469,2023-04-14
PET0470,Rabbit,Flemish Giant,12,Sneezing,Healthy,Observation,18.65,OWN0470,2023-04-15
PET0471,Cat,Bengal,8,Diarrhea,Recovering,Medication,25.33,OWN0471,2023-04-16
PET0472,Hamster,Syrian,8,Sneezing,Minor Illness,Observation,22.51,OWN0472,2023-04-17
PET0473,Cat,Maine Coon,13,Lethargy,Recovering,None,29.83,OWN0473,2023-04-18
PET0474,Hamster,Winter White,5,Lethargy,Chronic Illness,Observation,11.55,OWN0474,2023-04-19
PET0475,Bird,Cockatiel,13,Vomiting,Chronic Illness,Therapy,22.82,OWN0475,2023-04-20
PET0476,Hamster,Chinese,12,Sneezing,Critical,Surgery,3.98,OWN0476,2023-04-21
PET0477,Rabbit,Mini Rex,13,Vomiting,Critical,Surgery,16.84,OWN0477,2023-04-22
PET0478,Dog,Labrador,1,Sneezing,Critical,None,30.13,OWN0478,2023-04-23
PET0479,Hamster,Syrian,13,Vomiting,Healthy,Surgery,27.89,OWN0479,2023-04-24
PET0480,Hamster,Chinese,10,Lethargy,Critical,Surgery,39.63,OWN0480,2023-04-25
PET0481,Dog,Bulldog,7,Diarrhea,Healthy,Medication,11.48,OWN0481,2023-04-26
PET0482,Rabbit,Flemish Giant,12,Vomiting,Critical,None,20.18,OWN0482,2023-04-27
PET0483,Cat,Maine Coon,10,Sneezing,Healthy,None,13.52,OWN0483,2023-04-28
PET0484,Hamster,Winter White,5,Sneezing,Recovering,Surgery,17.9,OWN0484,2023-04-29
PET0485,Dog,Bulldog,8,Lethargy,Recovering,Surgery,34.35,OWN0485,2023-04-30
PET0486,Bird,Canary,9,Sneezing,Chronic Illness,Surgery,27.53,OWN0486,2023-05-01
PET0487,Dog,Beagle,11,Coughing,Healthy,Therapy,35.36,OWN0487,2023-05-02
PET0488,Bird,Parrot,14,Diarrhea,Minor Illness,Observation,8.54,OWN0488,2023-05-03
PET0489,Rabbit,Mini Rex,7,Vomiting,Chronic Illness,Therapy,35.0,OWN0489,2023-05-04
PET0490,Cat,Bengal,14,Diarrhea,Recovering,None,2.86,OWN0490,2023-05-05
PET0491,Dog,Beagle,13,Lethargy,Healthy,Medication,35.6,OWN0491,2023-05-06
PET0492,Hamster,Winter White,7,Vomiting,Critical,Observation,13.5,OWN0492,2023-05-07
PET0493,Rabbit,Holland Lop,1,Vomiting,Minor Illness,Medication,12.93,OWN0493,2023-05-08
PET0494,Dog,Poodle,4,Coughing,Recovering,None,20.73,OWN0494,2023-05-09
PET0495,Hamster,Winter White,2,Lethargy,Chronic Illness,None,37.66,OWN0495,2023-05-10
PET0496,Dog,Terrier,2,Sneezing,Healthy,Medication,2.39,OWN0496,2023-05-11
PET0497,Bird,Finch,2,Coughing,Minor Illness,Medication,14.41,OWN0497,2023-05-12
PET0498,Dog,Terrier,4,Coughing,Healthy,Medication,34.33,OWN0498,2023-05-13
PET0499,Dog,Labrador,14,Diarrhea,Critical,None,16.14,OWN0499,2023-05-14
PET0500,Dog,Labrador,1,Diarrhea,Chronic Illness,Surgery,8.37,OWN0500,2023-05-15
PET0501,Rabbit,Lionhead,4,Diarrhea,Healthy,Medication,17.28,OWN0501,2023-05-16
PET0502,Dog,Bulldog,2,Coughing,Recovering,Observation,15.73,OWN0502,2023-05-17
PET0503,Hamster,Dwarf Campbell,5,Sneezing,Chronic Illness,None,36.66,OWN0503,2023-05-18
PET0504,Bird,Parakeet,3,Vomiting,Recovering,Therapy,30.6,OWN0504,2023-05-19
PET0505,Bird,Cockatiel,12,Diarrhea,Healthy,Therapy,20.45,OWN0505,2023-05-20
PET0506,Dog,Beagle,8,Sneezing,Chronic Illness,Observation,39.54,OWN0506,2023-05-21
PET0507,Rabbit,Lionhead,4,Lethargy,Recovering,Surgery,18.88,OWN0507,2023-05-22
PET0508,Rabbit,Lionhead,1,Diarrhea,Critical,Medication,2.8,OWN0508,2023-05-23
PET0509,Hamster,Dwarf Campbell,1,Vomiting,Critical,None,10.86,OWN0509,2023-05-24
PET0510,Dog,Labrador,12,Lethargy,Healthy,Medication,17.72,OWN0510,2023-05-25
PET0511,Bird,Canary,10,Lethargy,Chronic Illness,None,6.7,OWN0511,2023-05-26
PET0512,Rabbit,Mini Rex,3,Vomiting,Minor Illness,Therapy,37.93,OWN0512,2023-05-27
PET0513,Dog,Labrador,9,Diarrhea,Chronic Illness,Medication,30.79,OWN0513,2023-05-28
PET0514,Rabbit,Lionhead,7,Coughing,Critical,Observation,11.1,OWN0514,2023-05-29
PET0515,Rabbit,Netherland Dwarf,2,Vomiting,Recovering,Surgery,23.84,OWN0515,2023-05-30
PET0516,Bird,Parakeet,13,Vomiting,Minor Illness,Observation,29.0,OWN0516,2023-05-31
PET0517,Cat,Bengal,9,Vomiting,Healthy,Surgery,37.68,OWN0517,2023-06-01
PET0518,Hamster,Winter White,10,Lethargy,Minor Illness,Medication,35.32,OWN0518,2023-06-02
PET0519,Hamster,Chinese,2,Sneezing,Healthy,Medication,20.85,OWN0519,2023-06-03
PET0520,Bird,Canary,3,Coughing,Minor Illness,Surgery,31.1,OWN0520,2023-06-04
PET0521,Rabbit,Netherland Dwarf,11,Diarrhea,Healthy,Therapy,22.7,OWN0521,2023-06-05
PET0522,Dog,Bulldog,13,Diarrhea,Healthy,None,22.33,OWN0522,2023-06-06
PET0523,Rabbit,Netherland Dwarf,10,Sneezing,Minor Illness,Observation,5.03,OWN0523,2023-06-07
PET0524,Bird,Cockatiel,14,Vomiting,Minor Illness,Observation,5.48,OWN0524,2023-06-08
PET0525,Hamster,Syrian,2,Coughing,Healthy,Observation,21.42,OWN0525,2023-06-09
PET0526,Rabbit,Mini Rex,3,Diarrhea,Critical,Medication,11.12,OWN0526,2023-06-10
PET0527,Hamster,Winter White,6,Diarrhea,Minor Illness,Observation,1.33,OWN0527,2023-06-11
PET0528,Dog,Beagle,9,Vomiting,Chronic Illness,None,29.05,OWN0528,2023-06-12
PET0529,Hamster,Syrian,9,Sneezing,Recovering,None,1.78,OWN0529,2023-06-13
PET0530,Hamster,Dwarf Campbell,7,Coughing,Healthy,Surgery,24.01,OWN0530,2023-06-14
PET0531,Cat,Maine Coon,12,Sneezing,Healthy,Medication,21.8,OWN0531,2023-06-15
PET0532,Cat,Persian,3,Sneezing,Recovering,None,38.77,OWN0532,2023-06-16
PET0533,Cat,Persian,4,Coughing,Critical,Therapy,19.63,OWN0533,2023-06-17
PET0534,Hamster,Dwarf Campbell,6,Coughing,Recovering,Medication,3.01,OWN0534,2023-06-18
PET0535,Bird,Parrot,11,Diarrhea,Minor Illness,Medication,22.29,OWN0535,2023-06-19
PET0536,Hamster,Dwarf Campbell,5,Diarrhea,Recovering,None,33.72,OWN0536,2023-06-20
PET0537,Bird,Parrot,2,Coughing,Healthy,Therapy,39.88,OWN0537,2023-06-21
PET0538,Bird,Parakeet,13,Lethargy,Recovering,Surgery,17.5,OWN0538,2023-06-22
PET0539,Cat,Maine Coon,6,Diarrhea,Chronic Illness,None,13.15,OWN0539,2023-06-23
PET0540,Rabbit,Holland Lop,3,Lethargy,Minor Illness,Therapy,36.31,OWN0540,2023-06-24
PET0541,Dog,Bulldog,14,Coughing,Recovering,Medication,8.05,OWN0541,2023-06-25
PET0542,Cat,Siamese,8,Diarrhea,Healthy,Therapy,24.81,OWN0542,2023-06-26
PET0543,Cat,Siamese,2,Sneezing,Minor Illness,Medication,16.53,OWN0543,2023-06-27
PET0544,Rabbit,Lionhead,1,Coughing,Healthy,None,2.12,OWN0544,2023-06-28
PET0545,Dog,Terrier,9,Vomiting,Critical,None,14.22,OWN0545,2023-06-29
PET0546,Hamster,Winter White,14,Lethargy,Chronic Illness,Observation,10.98,OWN0546,2023-06-30
PET0547,Hamster,Syrian,12,Coughing,Critical,Observation,27.6,OWN0547,2023-07-01
PET0548,Cat,Persian,3,Coughing,Chronic Illness,Observation,37.98,OWN0548,2023-07-02
PET0549,Dog,Bulldog,11,Diarrhea,Recovering,None,11.09,OWN0549,2023-07-03
PET0550,Cat,Persian,1,Diarrhea,Minor Illness,Surgery,32.55,OWN0550,2023-07-04
PET0551,Bird,Canary,7,Diarrhea,Recovering,None,2.69,OWN0551,2023-07-05
PET0552,Cat,Siamese,13,Vomiting,Chronic Illness,Therapy,21.76,OWN0552,2023-07-06
